Component,Origin,License,Copyright
@eslint/js,npm,MIT,"Copyright OpenJS Foundation and other contributors, <www.openjsf.org>"
@nuxt/kit,npm,MIT,"Copyright (c) 2016-present - Nuxt Team"
@nuxt/schema,npm,MIT,"Copyright (c) 2016-present - Nuxt Team"
@rollup/plugin-commonjs,npm,MIT,"Copyright (c) 2019 RollupJS Plugin Contributors (https://github.com/rollup/plugins/graphs/contributors)"
@rollup/plugin-json,npm,MIT,"Copyright (c) 2019 RollupJS Plugin Contributors (https://github.com/rollup/plugins/graphs/contributors)"
@rollup/plugin-node-resolve,npm,MIT,"Copyright (c) 2019 RollupJS Plugin Contributors (https://github.com/rollup/plugins/graphs/contributors)"
@rollup/plugin-typescript,npm,MIT,"Copyright (c) 2019 RollupJS Plugin Contributors (https://github.com/rollup/plugins/graphs/contributors)"
@rollup/plugin-wasm,npm,MIT,"Copyright (c) 2019 RollupJS Plugin Contributors (https://github.com/rollup/plugins/graphs/contributors)"
@rollup/pluginutils,npm,MIT,"Copyright (c) 2019 RollupJS Plugin Contributors (https://github.com/rollup/plugins/graphs/contributors)"
@stylistic/eslint-plugin,npm,MIT,"Copyright OpenJS Foundation and other contributors, <www.openjsf.org>; Copyright (c) 2023-PRESENT ESLint Stylistic contributors"
@testing-library/dom,npm,MIT,"Copyright (c) 2017 Kent C. Dodds"
@testing-library/react,npm,MIT,"Copyright (c) 2017-Present Kent C. Dodds"
@types/node,npm,MIT,"Copyrights are respective of each contributor listed at the beginning of each definition file."
@types/react-dom,npm,MIT,"Copyrights are respective of each contributor listed at the beginning of each definition file."
@types/react,npm,MIT,"Copyrights are respective of each contributor listed at the beginning of each definition file."
@vitejs/plugin-react,npm,MIT,"Copyright (c) 2019-present, Yuxi (Evan) You and Vite contributors"
css-loader,npm,MIT,"Copyright JS Foundation and other contributors"
dts-buddy,npm,MIT,"Copyright (c) 2023 [these people](https://github.com/Rich-Harris/dts-buddy/graphs/contributors)"
esbuild,npm,MIT,"Copyright (c) 2020 Evan Wallace"
eslint,npm,MIT,"Copyright OpenJS Foundation and other contributors, <www.openjsf.org>"
eslint-plugin-react-hooks,npm,MIT,"Copyright (c) Meta Platforms, Inc. and affiliates."
eslint-plugin-react-refresh,npm,MIT,"Copyright (c) Arnaud Barré (https://github.com/ArnaudBarre)"
globals,npm,MIT,"Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)"
jsdom,npm,MIT,"Copyright (c) 2010 Elijah Insua"
react-dom,npm,MIT,"Copyright (c) Meta Platforms, Inc. and affiliates."
react,npm,MIT,"Copyright (c) Meta Platforms, Inc. and affiliates."
rollup-plugin-string-import,npm,GPL-3.0-or-later,"Copyright (c) Bogdan Chadkin <trysound@yandex.ru>"
rollup,npm,MIT,"Copyright (c) 2017 [these people](https://github.com/rollup/rollup/graphs/contributors)"
source-map,npm,BSD-3-Clause,"Copyright (c) 2009-2011, Mozilla Foundation and contributors"
style-loader,npm,MIT,"Copyright JS Foundation and other contributors"
svg-url-loader,npm,MIT,"Copyright (c) 2015 Hovhannes Babayan"
ts-loader,npm,MIT,"Copyright (c) 2015-present TypeStrong"
tslib,npm,0BSD,"Copyright (c) Microsoft Corporation."
tsx,npm,MIT,"Copyright (c) Hiroki Osame <hiroki.osame@gmail.com>"
typescript-eslint,npm,MIT,"Copyright (c) 2019 typescript-eslint and other contributors"
unplugin,npm,MIT,"Copyright (c) 2021-PRESENT Nuxt Contrib"
vite-plugin-commonjs,npm,MIT,"Copyright (c) 2022 vite-plugin"
vite-plugin-require,npm,MIT,""
vite,npm,MIT,"Copyright (c) 2019-present, VoidZero Inc. and Vite contributors"
vitest,npm,MIT,"Copyright (c) 2021-Present Vitest Team"
webpack-cli,npm,MIT,"Copyright JS Foundation and other contributors"
webpack,npm,MIT,"Copyright JS Foundation and other contributors"
,,,
Inflector,https://github.com/whatisinternet/inflector,BSD-2-Clause,Josh Teeter<joshteeter@gmail.com>
ahash,https://github.com/tkaitchuck/ahash,MIT OR Apache-2.0,Tom Kaitchuck <Tom.Kaitchuck@gmail.com>
aho-corasick,https://github.com/BurntSushi/aho-corasick,Unlicense OR MIT,Andrew Gallant <jamslam@gmail.com>
allocator-api2,https://github.com/zakarumych/allocator-api2,MIT OR Apache-2.0,Zakarum <zaq.dev@icloud.com>
android-tzdata,https://github.com/RumovZ/android-tzdata,MIT OR Apache-2.0,RumovZ
android_system_properties,https://github.com/nical/android_system_properties,MIT OR Apache-2.0,Nicolas Silva <nical@fastmail.com>
ansi_term,https://github.com/ogham/rust-ansi-term,MIT,"ogham@bsago.me, Ryan Scheel (Havvy) <ryan.havvy@gmail.com>, Josh Triplett <josh@joshtriplett.org>"
anyhow,https://github.com/dtolnay/anyhow,MIT OR Apache-2.0,David Tolnay <dtolnay@gmail.com>
arrayvec,https://github.com/bluss/arrayvec,MIT OR Apache-2.0,bluss
ascii,https://github.com/tomprogrammer/rust-ascii,Apache-2.0 OR MIT,"Thomas Bahn <thomas@thomas-bahn.net>, Torbjørn Birch Moltu <t.b.moltu@lyse.net>, Simon Sapin <simon.sapin@exyr.org>"
auto_impl,https://github.com/auto-impl-rs/auto_impl,MIT OR Apache-2.0,"Ashley Mannix <ashleymannix@live.com.au>, Lukas Kalbertodt <lukas.kalbertodt@gmail.com>"
base64,https://github.com/marshallpierce/rust-base64,MIT OR Apache-2.0,Marshall Pierce <marshall@mpierce.org>
base64-simd,https://github.com/Nugine/simd,MIT,The base64-simd Authors
bitflags,https://github.com/bitflags/bitflags,MIT OR Apache-2.0,The Rust Project Developers
bitvec,https://github.com/bitvecto-rs/bitvec,MIT,The bitvec Authors
block-buffer,https://github.com/RustCrypto/utils,MIT OR Apache-2.0,RustCrypto Developers
browserslist-rs,https://github.com/browserslist/browserslist-rs,MIT,Pig Fang <g-plane@hotmail.com>
bstr,https://github.com/BurntSushi/bstr,MIT OR Apache-2.0,Andrew Gallant <jamslam@gmail.com>
bumpalo,https://github.com/fitzgen/bumpalo,MIT OR Apache-2.0,Nick Fitzgerald <fitzgen@gmail.com>
bytes,https://github.com/tokio-rs/bytes,MIT,"Carl Lerche <me@carllerche.com>, Sean McArthur <sean@seanmonstar.com>"
bytes-str,https://github.com/dudykr/ddbase,Apache-2.0,Donny <kdy1997.dev@gmail.com>
camino,https://github.com/camino-rs/camino,MIT OR Apache-2.0,"Without Boats <saoirse@without.boats>, Ashley Williams <ashley666ashley@gmail.com>, Steve Klabnik <steve@steveklabnik.com>, Rain <rain@sunshowers.io>"
cargo-platform,https://github.com/rust-lang/cargo,MIT OR Apache-2.0,The cargo-platform Authors
cargo_metadata,https://github.com/oli-obk/cargo_metadata,MIT,Oliver Schneider <git-spam-no-reply9815368754983@oli-obk.de>
castaway,https://github.com/sagebind/castaway,MIT,Stephen M. Coakley <me@stephencoakley.com>
cfg-if,https://github.com/alexcrichton/cfg-if,MIT OR Apache-2.0,Alex Crichton <alex@alexcrichton.com>
chrono,https://github.com/chronotope/chrono,MIT OR Apache-2.0,The chrono Authors
compact_str,https://github.com/ParkMyCar/compact_str,MIT,Parker Timmerman <parker@parkertimmerman.com>
console,https://github.com/console-rs/console,MIT,Armin Ronacher <armin.ronacher@active-4.com>
core-foundation-sys,https://github.com/servo/core-foundation-rs,MIT OR Apache-2.0,The Servo Project Developers
cpufeatures,https://github.com/RustCrypto/utils,MIT OR Apache-2.0,RustCrypto Developers
crypto-common,https://github.com/RustCrypto/traits,MIT OR Apache-2.0,RustCrypto Developers
darling,https://github.com/TedDriggs/darling,MIT,Ted Driggs <ted.driggs@outlook.com>
dashmap,https://github.com/xacrimon/dashmap,MIT,Acrimon <joel.wejdenstal@gmail.com>
data-encoding,https://github.com/ia0/data-encoding,MIT,Julien Cretin <git@ia0.eu>
data-url,https://github.com/servo/rust-url,MIT OR Apache-2.0,Simon Sapin <simon.sapin@exyr.org>
debugid,https://github.com/getsentry/rust-debugid,Apache-2.0,Sentry <hello@sentry.io>
derive_builder,https://github.com/colin-kiegel/rust-derive-builder,MIT OR Apache-2.0,"Colin Kiegel <kiegel@gmx.de>, Pascal Hertleif <killercup@gmail.com>, Jan-Erik Rediger <janerik@fnordig.de>, Ted Driggs <ted.driggs@outlook.com>"
derive_builder_core,https://github.com/colin-kiegel/rust-derive-builder,MIT OR Apache-2.0,"Colin Kiegel <kiegel@gmx.de>, Pascal Hertleif <killercup@gmail.com>, Jan-Erik Rediger <janerik@fnordig.de>, Ted Driggs <ted.driggs@outlook.com>"
derive_builder_macro,https://github.com/colin-kiegel/rust-derive-builder,MIT OR Apache-2.0,"Colin Kiegel <kiegel@gmx.de>, Pascal Hertleif <killercup@gmail.com>, Jan-Erik Rediger <janerik@fnordig.de>, Ted Driggs <ted.driggs@outlook.com>"
diff,https://github.com/utkarshkukreti/diff.rs,MIT OR Apache-2.0,Utkarsh Kukreti <utkarshkukreti@gmail.com>
difference,https://github.com/johannhof/difference.rs,MIT,Johann Hofmann <mail@johann-hofmann.com>
digest,https://github.com/RustCrypto/traits,MIT OR Apache-2.0,RustCrypto Developers
displaydoc,https://github.com/yaahc/displaydoc,MIT OR Apache-2.0,Jane Lusby <jlusby@yaah.dev>
either,https://github.com/rayon-rs/either,MIT OR Apache-2.0,bluss
encode_unicode,https://github.com/tormol/encode_unicode,Apache-2.0 OR MIT,Torbjørn Birch Moltu <t.b.moltu@lyse.net>
equivalent,https://github.com/indexmap-rs/equivalent,Apache-2.0 OR MIT,The equivalent Authors
fixedbitset,https://github.com/petgraph/fixedbitset,MIT OR Apache-2.0,bluss
fnv,https://github.com/servo/rust-fnv,Apache-2.0  OR  MIT,Alex Crichton <alex@alexcrichton.com>
foldhash,https://github.com/orlp/foldhash,Zlib,Orson Peters <orsonpeters@gmail.com>
funty,https://github.com/myrrlyn/funty,MIT,myrrlyn <self@myrrlyn.dev>
generic-array,https://github.com/fizyk20/generic-array,MIT,"Bartłomiej Kamiński <fizyk20@gmail.com>, Aaron Trent <novacrazy@gmail.com>"
getrandom,https://github.com/rust-random/getrandom,MIT OR Apache-2.0,The Rand Project Developers
glob,https://github.com/rust-lang/glob,MIT OR Apache-2.0,The Rust Project Developers
globset,https://github.com/BurntSushi/ripgrep/tree/master/crates/globset,Unlicense OR MIT,Andrew Gallant <jamslam@gmail.com>
hashbrown,https://github.com/rust-lang/hashbrown,MIT OR Apache-2.0,Amanieu d'Antras <amanieu@gmail.com>
heck,https://github.com/withoutboats/heck,MIT OR Apache-2.0,The heck Authors
hermit-abi,https://github.com/hermit-os/hermit-rs,MIT OR Apache-2.0,Stefan Lankes
html-escape,https://github.com/magiclen/html-escape,MIT,Magic Len <len@magiclen.org>
iana-time-zone,https://github.com/strawlab/iana-time-zone,MIT OR Apache-2.0,"Andrew Straw <strawman@astraw.com>, René Kijewski <rene.kijewski@fu-berlin.de>, Ryan Lopopolo <rjl@hyperbo.la>"
iana-time-zone-haiku,https://github.com/strawlab/iana-time-zone,MIT OR Apache-2.0,René Kijewski <crates.io@k6i.de>
icu_collections,https://github.com/unicode-org/icu4x,Unicode-3.0,The ICU4X Project Developers
icu_locid,https://github.com/unicode-org/icu4x,Unicode-3.0,The ICU4X Project Developers
icu_locid_transform,https://github.com/unicode-org/icu4x,Unicode-3.0,The ICU4X Project Developers
icu_locid_transform_data,https://github.com/unicode-org/icu4x,Unicode-3.0,The ICU4X Project Developers
icu_normalizer,https://github.com/unicode-org/icu4x,Unicode-3.0,The ICU4X Project Developers
icu_normalizer_data,https://github.com/unicode-org/icu4x,Unicode-3.0,The ICU4X Project Developers
icu_properties,https://github.com/unicode-org/icu4x,Unicode-3.0,The ICU4X Project Developers
icu_properties_data,https://github.com/unicode-org/icu4x,Unicode-3.0,The ICU4X Project Developers
icu_provider,https://github.com/unicode-org/icu4x,Unicode-3.0,The ICU4X Project Developers
icu_provider_macros,https://github.com/unicode-org/icu4x,Unicode-3.0,The ICU4X Project Developers
ident_case,https://github.com/TedDriggs/ident_case,MIT OR Apache-2.0,Ted Driggs <ted.driggs@outlook.com>
idna_adapter,https://github.com/hsivonen/idna_adapter,Apache-2.0 OR MIT,The rust-url developers
if_chain,https://github.com/lambda-fairy/if_chain,MIT OR Apache-2.0,Chris Wong <lambda.fairy@gmail.com>
indexmap,https://github.com/indexmap-rs/indexmap,Apache-2.0 OR MIT,The indexmap Authors
is-macro,https://github.com/dudykr/ddbase,Apache-2.0,강동윤 <kdy1997.dev@gmail.com>
itertools,https://github.com/rust-itertools/itertools,MIT OR Apache-2.0,bluss
itoa,https://github.com/dtolnay/itoa,MIT OR Apache-2.0,David Tolnay <dtolnay@gmail.com>
js-sys,https://github.com/rustwasm/wasm-bindgen/tree/master/crates/js-sys,MIT OR Apache-2.0,The wasm-bindgen Developers
jsonc-parser,https://github.com/dprint/jsonc-parser,MIT,David Sherret <dsherret@gmail.com>
lazy_static,https://github.com/rust-lang-nursery/lazy-static.rs,MIT OR Apache-2.0,Marvin Löbel <loebel.marvin@gmail.com>
libc,https://github.com/rust-lang/libc,MIT OR Apache-2.0,The Rust Project Developers
litemap,https://github.com/unicode-org/icu4x,Unicode-3.0,The ICU4X Project Developers
log,https://github.com/rust-lang/log,MIT OR Apache-2.0,The Rust Project Developers
lru,https://github.com/jeromefroe/lru-rs,MIT,Jerome Froelich <jeromefroelic@hotmail.com>
matchers,https://github.com/hawkw/matchers,MIT,Eliza Weisman <eliza@buoyant.io>
